Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,61.090000,61.529999,60.279999,60.840000,60.840000,8443700
2017-10-31,60.939999,61.900002,60.680000,61.660000,61.660000,8234200
2017-11-01,61.860001,62.349998,61.490002,62.160000,62.160000,4713300
2017-11-02,62.150002,62.869999,61.730000,62.230000,62.230000,4058200
2017-11-03,62.080002,62.250000,61.799999,62.220001,62.220001,3327100
2017-11-06,62.240002,62.270000,61.279999,61.680000,61.680000,4222600
2017-11-07,61.580002,62.430000,61.450001,61.910000,61.910000,4047200
2017-11-08,61.630001,62.820000,61.630001,62.580002,62.580002,4535400
2017-11-09,62.209999,62.349998,61.759998,61.990002,61.990002,3671400
2017-11-10,61.750000,61.750000,60.340000,60.860001,60.860001,5592100
2017-11-13,60.700001,61.209999,60.500000,60.990002,60.990002,4222600
2017-11-14,60.959999,61.650002,60.669998,61.250000,61.250000,3986900
2017-11-15,61.259998,61.279999,60.529999,61.070000,61.070000,3349200
2017-11-16,61.250000,61.970001,61.009998,61.869999,61.869999,4286200
2017-11-17,61.560001,61.900002,60.990002,61.320000,61.320000,4147900
2017-11-20,61.169998,61.220001,60.150002,60.799999,60.799999,4902700
2017-11-21,61.200001,61.740002,60.980000,61.240002,61.240002,3968000
2017-11-22,61.279999,61.770000,61.000000,61.139999,61.139999,3192200
2017-11-24,61.150002,61.610001,61.029999,61.430000,61.430000,1985700
2017-11-27,61.529999,61.840000,61.340000,61.610001,61.610001,2958200
2017-11-28,61.720001,62.540001,61.619999,62.430000,62.430000,1584639
