Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,50.570000,50.779999,49.970001,50.459999,50.459999,9020900
2017-10-31,50.470001,50.720001,49.950001,50.000000,50.000000,9283000
2017-11-01,50.220001,50.549999,49.500000,49.630001,49.630001,7842900
2017-11-02,49.529999,50.439999,49.509998,50.419998,50.419998,7902300
2017-11-03,50.150002,50.419998,49.660000,50.020000,50.020000,5916800
2017-11-06,49.880001,50.299999,49.750000,50.139999,50.139999,4844200
2017-11-07,50.259998,50.590000,49.259998,49.389999,49.389999,8823800
2017-11-08,49.209999,49.380001,48.730000,49.040001,49.040001,8435700
2017-11-09,48.779999,49.279999,48.259998,48.820000,48.820000,6189500
2017-11-10,49.009998,49.200001,48.720001,48.759998,48.759998,5436500
2017-11-13,48.250000,48.759998,48.240002,48.630001,48.630001,5730400
2017-11-14,48.369999,48.549999,47.959999,48.380001,48.380001,5968500
2017-11-15,47.840000,48.529999,47.419998,48.099998,48.099998,9749600
2017-11-16,48.389999,48.840000,48.369999,48.599998,48.599998,7789000
2017-11-17,48.290001,48.900002,48.160000,48.700001,48.700001,4992600
2017-11-20,48.910000,49.279999,48.660000,49.110001,49.110001,4574600
2017-11-21,49.610001,49.759998,49.290001,49.380001,49.380001,6037000
2017-11-22,49.340000,49.619999,49.070000,49.090000,49.090000,3785900
2017-11-24,49.299999,49.389999,49.040001,49.060001,49.060001,2692900
2017-11-27,48.980000,49.320000,48.709999,49.000000,49.000000,4861800
2017-11-28,49.150002,49.360001,48.930000,49.340000,49.340000,1603867
