Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,255.449997,260.410004,255.330002,259.250000,257.863800,3025900
2017-10-31,259.339996,259.929993,257.470001,257.980011,256.600586,2742800
2017-11-01,258.290009,259.410004,256.239990,258.500000,257.117798,2929500
2017-11-02,258.309998,263.239990,258.000000,262.630005,261.225708,2529900
2017-11-03,262.420013,263.790009,260.079987,261.750000,260.350433,2610800
2017-11-06,262.619995,265.839996,262.529999,264.070007,262.658020,2911600
2017-11-07,264.070007,267.279999,264.070007,266.130005,264.707001,3205400
2017-11-08,266.140015,267.619995,265.290009,265.570007,264.149994,2841800
2017-11-09,265.010010,266.750000,259.559998,262.700012,262.700012,3215900
2017-11-10,262.109985,262.500000,259.600006,260.850006,260.850006,1740600
2017-11-13,261.670013,263.359985,260.489990,262.420013,262.420013,2604100
2017-11-14,262.000000,262.399994,260.200012,261.760010,261.760010,2358200
2017-11-15,261.420013,264.769989,260.149994,262.859985,262.859985,2510500
2017-11-16,263.760010,265.040009,263.339996,263.700012,263.700012,2710200
2017-11-17,262.820007,263.739990,262.029999,262.260010,262.260010,1724800
2017-11-20,263.000000,265.619995,262.760010,264.630005,264.630005,2447400
2017-11-21,266.239990,267.000000,264.709991,266.989990,266.989990,2267100
2017-11-22,267.000000,267.480011,264.529999,265.149994,265.149994,1471400
2017-11-24,265.260010,266.570007,264.529999,265.880005,265.880005,788900
2017-11-27,265.380005,266.839996,264.720001,265.579987,265.579987,1762700
2017-11-28,267.000000,267.010010,265.230011,265.904999,265.904999,520700
