Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,77.199997,77.220001,75.209999,75.269997,74.672844,5216300
2017-10-31,76.180000,77.400002,76.019997,77.330002,76.716507,4836100
2017-11-01,77.709999,77.860001,77.080002,77.699997,77.083565,4052600
2017-11-02,76.839996,78.190002,75.510002,78.029999,77.410950,6533400
2017-11-03,77.870003,78.190002,77.570000,78.000000,77.381187,4077600
2017-11-06,78.089996,78.220001,76.510002,77.000000,76.389122,4682000
2017-11-07,76.930000,78.639999,76.489998,78.180000,77.559761,3421700
2017-11-08,78.639999,80.089996,78.220001,79.580002,78.948654,4058700
2017-11-09,79.260002,79.940002,79.019997,79.410004,78.780006,3431600
2017-11-10,78.970001,79.879997,78.970001,79.720001,79.087540,3403000
2017-11-13,79.660004,80.370003,79.599998,79.849998,79.216507,3237500
2017-11-14,79.540001,79.879997,79.029999,79.379997,78.750237,2839200
2017-11-15,79.489998,79.889999,78.570000,78.779999,78.154999,3277400
2017-11-16,78.720001,80.160004,78.510002,79.680000,79.680000,3028900
2017-11-17,79.629997,80.070000,79.275002,79.629997,79.629997,4263200
2017-11-20,79.699997,80.959999,79.629997,79.930000,79.930000,3736700
2017-11-21,80.120003,80.290001,79.760002,80.010002,80.010002,2455600
2017-11-22,80.040001,80.199997,79.589996,79.820000,79.820000,2923900
2017-11-24,80.250000,80.349998,79.540001,79.760002,79.760002,1144800
2017-11-27,79.760002,80.040001,79.449997,79.610001,79.610001,4539600
2017-11-28,79.699997,79.860001,79.025002,79.025002,79.025002,1291463
