Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,28.879999,29.209999,28.809999,29.010000,29.010000,4996600
2017-10-31,28.950001,29.180000,28.840000,28.900000,28.900000,4594800
2017-11-01,29.070000,29.230000,28.889999,28.959999,28.959999,3649800
2017-11-02,28.930000,29.389999,28.760000,29.260000,29.260000,4087000
2017-11-03,29.160000,29.260000,29.049999,29.120001,29.120001,3605200
2017-11-06,29.090000,29.330000,28.990000,29.240000,29.240000,2985600
2017-11-07,29.230000,29.370001,28.420000,28.450001,28.450001,4904900
2017-11-08,28.160000,28.500000,28.150000,28.299999,28.299999,6401600
2017-11-09,28.090000,28.420000,27.790001,28.010000,28.010000,6229900
2017-11-10,28.080000,28.559999,27.650000,27.670000,27.670000,6799400
2017-11-13,27.520000,28.280001,27.379999,28.190001,28.190001,8058000
2017-11-14,28.070000,28.620001,28.030001,28.610001,28.610001,5786900
2017-11-15,28.440001,28.610001,28.200001,28.459999,28.459999,5481900
2017-11-16,28.670000,28.879999,28.350000,28.469999,28.469999,3942400
2017-11-17,28.180000,28.540001,28.129999,28.450001,28.450001,3783200
2017-11-20,28.530001,28.680000,28.400000,28.570000,28.570000,4814300
2017-11-21,28.709999,28.709999,28.420000,28.480000,28.480000,3424000
2017-11-22,28.490000,28.680000,28.379999,28.420000,28.420000,2672400
2017-11-24,28.530001,28.549999,28.160000,28.200001,28.200001,2281100
2017-11-27,28.250000,28.400000,28.150000,28.400000,28.400000,5402700
2017-11-28,28.500000,28.969999,28.400000,28.967501,28.967501,2315717
